Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
189.99,TB 1331,2023-04-29T16:00,2023-04-29T18:45,10,IBZ,Ibiza,BRU,Brussel,2u 45m,2023-03-16 10:25:01

134.99,TB 1371,2023-04-30T17:15,2023-04-30T21:25,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:25:01

139.99,TB 1011,2023-04-26T06:05,2023-04-26T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:25:09

149.99,TB 1021,2023-04-27T06:05,2023-04-27T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:25:09

289.99,TB 1027,2023-04-27T14:30,2023-04-27T17:35,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:25:09

239.99,TB 1011,2023-04-28T06:00,2023-04-28T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:25:09

329.99,TB 1011,2023-04-29T06:00,2023-04-29T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:25:09

